name	Gene	Blood_cancer_activity	Blood_healthy_activity	Breast_cancer_activity	Breast_healthy_activity	Liver_cancer_activity	Liver_healthy_activity	Pancreas_cancer_activity	Pancreas_healthy_activity
Enhancer_chr12_53837639_53839639	AMHR2	off	off	off	off	off	off	on	off
Enhancer_chr12_53844139_53846139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53844139_53846139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53844639_53846639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53844639_53846639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53845139_53847139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53845139_53847139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53845639_53847639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53845639_53847639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53846139_53848139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53846139_53848139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53846639_53848639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53846639_53848639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53847139_53849139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53847139_53849139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53847639_53849639	AMHR2	on	on	on	on	off	on	on	off
Enhancer_chr12_53848139_53850139	AMHR2	on	on	on	on	off	off	on	off
Enhancer_chr12_53848639_53850639	AMHR2	off	off	on	off	off	off	off	off
Enhancer_chr14_102547075_102549075	HSP90AA1	off	off	on	off	off	off	off	off
Enhancer_chr14_102547575_102549575	HSP90AA1	off	off	on	off	off	off	off	off
Enhancer_chr14_102548075_102550075	HSP90AA1	off	off	on	off	off	off	off	off
Enhancer_chr14_102548575_102550575	HSP90AA1	on	on	on	off	off	off	on	off
Enhancer_chr14_102549075_102551075	HSP90AA1	on	on	on	off	off	off	on	off
Enhancer_chr14_102549575_102551575	HSP90AA1	on	on	on	off	off	off	on	off
Enhancer_chr14_102550075_102552075	HSP90AA1	on	on	on	off	off	on	on	off
Enhancer_chr14_102550575_102552575	HSP90AA1	on	on	on	on	on	on	off	on
Enhancer_chr14_102551075_102553075	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102551575_102553575	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102552075_102554075	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102552575_102554575	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102553075_102555075	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102553575_102555575	HSP90AA1	on	on	on	on	off	on	off	on
Enhancer_chr14_102554075_102556075	HSP90AA1	off	on	on	on	off	on	off	on
Enhancer_chr14_102554575_102556575	HSP90AA1	off	on	on	off	off	on	off	off
Enhancer_chr14_102555075_102557075	HSP90AA1	off	on	on	off	off	on	off	off
Enhancer_chr14_102559075_102561075	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102559575_102561575	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102560075_102562075	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102560575_102562575	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102561075_102563075	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102561575_102563575	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102562075_102564075	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102562575_102564575	HSP90AA1	on	off	off	off	off	off	off	off
Enhancer_chr14_102602575_102604575	HSP90AA1	off	off	off	on	off	off	off	off
Enhancer_chr14_102603075_102605075	HSP90AA1	on	on	on	on	off	on	on	off
Enhancer_chr14_102603575_102605575	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102604075_102606075	HSP90AA1	on	off	on	on	on	on	on	on
Enhancer_chr14_102604575_102606575	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102605075_102607075	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102605575_102607575	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102606075_102608075	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_102606575_102608575	HSP90AA1	on	on	on	on	on	on	on	on
Enhancer_chr14_64964686_64966686	HSPA2	off	off	off	off	off	on	off	off
Enhancer_chr14_64965186_64967186	HSPA2	off	off	off	off	off	on	off	off
Enhancer_chr14_64965686_64967686	HSPA2	off	on	off	off	off	on	off	off
Enhancer_chr14_64966186_64968186	HSPA2	off	on	on	off	off	on	on	off
Enhancer_chr14_64966686_64968686	HSPA2	off	on	on	on	off	on	on	off
Enhancer_chr14_64967186_64969186	HSPA2	off	on	on	on	on	on	on	off
Enhancer_chr14_64967686_64969686	HSPA2	on	on	on	on	on	on	on	off
Enhancer_chr14_64968186_64970186	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64968686_64970686	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64969186_64971186	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64969686_64971686	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64970186_64972186	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64970686_64972686	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64971186_64973186	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64971686_64973686	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64972186_64974186	HSPA2	on	on	on	on	on	on	on	on
Enhancer_chr14_64972686_64974686	HSPA2	on	on	on	on	off	on	on	off
Enhancer_chr14_64973186_64975186	HSPA2	on	on	off	off	off	on	on	off
Enhancer_chr14_64973686_64975686	HSPA2	on	on	off	off	off	on	on	off
Enhancer_chr14_64974186_64976186	HSPA2	on	on	off	off	off	off	on	off
Enhancer_chr14_64974686_64976686	HSPA2	on	on	off	off	off	off	on	off
Enhancer_chr14_64975186_64977186	HSPA2	on	on	off	off	off	off	on	off
Enhancer_chr14_64975686_64977686	HSPA2	on	on	off	off	off	off	on	off
Enhancer_chr14_64976186_64978186	HSPA2	on	on	off	off	off	off	off	off
Enhancer_chr14_64976686_64978686	HSPA2	on	on	off	off	off	off	off	off
Enhancer_chr14_64977186_64979186	HSPA2	off	on	off	off	off	off	off	off
Enhancer_chr14_64977686_64979686	HSPA2	off	on	off	off	off	off	off	off
Enhancer_chr14_64978186_64980186	HSPA2	off	on	off	off	off	off	off	off
Enhancer_chr14_64978686_64980686	HSPA2	off	on	off	off	off	off	off	off
Enhancer_chr14_65003686_65005686	HSPA2	off	off	on	off	off	off	off	off
Enhancer_chr14_65004186_65006186	HSPA2	off	on	on	off	off	off	on	off
Enhancer_chr14_65004686_65006686	HSPA2	off	on	on	off	off	on	on	on
Enhancer_chr14_65005186_65007186	HSPA2	off	on	on	off	off	on	on	on
Enhancer_chr14_65005686_65007686	HSPA2	off	on	on	on	off	on	on	off
Enhancer_chr14_65006186_65008186	HSPA2	off	on	on	on	off	on	on	off
Enhancer_chr14_65006686_65008686	HSPA2	off	off	on	off	off	on	on	on
Enhancer_chr14_65007186_65009186	HSPA2	off	off	on	off	off	on	on	on
Enhancer_chr14_65007686_65009686	HSPA2	off	on	on	off	off	off	off	on
Enhancer_chr14_65008186_65010186	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65008686_65010686	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65009186_65011186	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65014686_65016686	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65015186_65017186	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65015686_65017686	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65016186_65018186	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr14_65016686_65018686	HSPA2	off	off	off	off	off	off	off	on
Enhancer_chr16_3742098_3744098	TRAP1	off	off	off	off	off	on	off	off
Enhancer_chr16_3742598_3744598	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3743098_3745098	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3743598_3745598	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3744098_3746098	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3744598_3746598	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3745098_3747098	TRAP1	off	off	off	off	on	on	off	on
Enhancer_chr16_3745598_3747598	TRAP1	off	off	off	off	on	on	off	on
Enhancer_chr16_3746098_3748098	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3746598_3748598	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3747098_3749098	TRAP1	off	off	off	off	on	on	off	off
Enhancer_chr16_3761598_3763598	TRAP1	off	off	off	off	off	on	off	off
Enhancer_chr16_3762098_3764098	TRAP1	off	off	off	off	off	on	off	off
Enhancer_chr16_3762598_3764598	TRAP1	off	off	off	off	off	on	off	off
Enhancer_chr16_3763098_3765098	TRAP1	off	off	off	off	off	on	off	off
Enhancer_chr16_3763598_3765598	TRAP1	off	off	off	off	off	on	off	off
Enhancer_chr16_3764098_3766098	TRAP1	off	on	off	off	off	off	off	off
Enhancer_chr16_3764598_3766598	TRAP1	on	on	on	on	off	on	on	off
Enhancer_chr16_3765098_3767098	TRAP1	on	on	on	on	on	on	on	on
Enhancer_chr16_3765598_3767598	TRAP1	on	on	on	on	on	on	on	on
Enhancer_chr16_3766098_3768098	TRAP1	on	on	on	on	on	on	on	on
Enhancer_chr16_3766598_3768598	TRAP1	on	on	on	on	on	on	on	on
Enhancer_chr16_3767098_3769098	TRAP1	on	on	on	on	on	on	on	on
Enhancer_chr16_3767598_3769598	TRAP1	on	on	on	on	on	on	on	on
Enhancer_chr16_3768098_3770098	TRAP1	on	on	on	on	on	on	on	off
Enhancer_chr16_67867175_67869175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67867675_67869675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67868175_67870175	PSKH1	off	on	on	off	on	off	on	off
Enhancer_chr16_67873175_67875175	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67873675_67875675	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67874175_67876175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67874675_67876675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67875175_67877175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67875675_67877675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67876175_67878175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67876675_67878675	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67877175_67879175	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67877675_67879675	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67878175_67880175	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67878675_67880675	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67879175_67881175	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67879675_67881675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67880175_67882175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67880675_67882675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67881175_67883175	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67881675_67883675	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67882175_67884175	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67882675_67884675	PSKH1	off	on	off	off	off	off	off	off
Enhancer_chr16_67889175_67891175	PSKH1	off	off	off	off	off	on	on	off
Enhancer_chr16_67889675_67891675	PSKH1	on	off	off	off	off	off	on	off
Enhancer_chr16_67890175_67892175	PSKH1	on	off	off	off	off	off	on	off
Enhancer_chr16_67890675_67892675	PSKH1	on	off	off	off	off	off	on	off
Enhancer_chr16_67891175_67893175	PSKH1	on	off	off	off	off	off	on	off
Enhancer_chr16_67891675_67893675	PSKH1	on	off	off	off	off	off	on	off
Enhancer_chr16_67892175_67894175	PSKH1	off	off	off	off	on	off	off	off
Enhancer_chr16_67892675_67894675	PSKH1	off	off	off	off	on	off	off	off
Enhancer_chr16_67893175_67895175	PSKH1	off	off	off	off	on	off	off	off
Enhancer_chr16_67894175_67896175	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67894675_67896675	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67900675_67902675	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67902675_67904675	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67904675_67906675	PSKH1	on	on	on	on	on	on	on	off
Enhancer_chr16_67905175_67907175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67905675_67907675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67906175_67908175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67906675_67908675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67907175_67909175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67907675_67909675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67908175_67910175	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67908675_67910675	PSKH1	on	on	on	off	off	off	off	off
Enhancer_chr16_67909175_67911175	PSKH1	off	on	off	off	off	off	off	off
Enhancer_chr16_67917175_67919175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67917675_67919675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67918175_67920175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67924675_67926675	PSKH1	off	on	on	on	on	off	on	off
Enhancer_chr16_67925175_67927175	PSKH1	on	off	on	on	on	on	on	on
Enhancer_chr16_67925675_67927675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67926175_67928175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67926675_67928675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67927175_67929175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67927675_67929675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67928175_67930175	PSKH1	on	on	on	on	on	on	on	off
Enhancer_chr16_67928675_67930675	PSKH1	on	off	on	off	off	off	off	off
Enhancer_chr16_67948175_67950175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67948675_67950675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67949175_67951175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67950175_67952175	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67950675_67952675	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67951175_67953175	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67951675_67953675	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67954675_67956675	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67955175_67957175	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67955675_67957675	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67958175_67960175	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67958675_67960675	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67959175_67961175	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67959675_67961675	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67960175_67962175	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67964175_67966175	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67964675_67966675	PSKH1	off	off	off	off	off	off	off	on
Enhancer_chr16_67966175_67968175	PSKH1	on	off	off	off	off	off	off	off
Enhancer_chr16_67966675_67968675	PSKH1	on	off	off	off	on	off	on	off
Enhancer_chr16_67967175_67969175	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67967175_67969175	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67967675_67969675	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67967675_67969675	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67968175_67970175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67968175_67970175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67968675_67970675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67968675_67970675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67969175_67971175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67969175_67971175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67969675_67971675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67969675_67971675	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67970175_67972175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67970175_67972175	PSKH1	on	on	on	on	on	on	on	on
Enhancer_chr16_67970675_67972675	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67970675_67972675	PSKH1	on	on	on	off	on	on	on	on
Enhancer_chr16_67971175_67973175	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67971175_67973175	PSKH1	on	on	on	off	on	on	on	off
Enhancer_chr16_67971675_67973675	PSKH1	off	on	off	off	off	off	off	off
Enhancer_chr16_67971675_67973675	PSKH1	off	on	off	off	off	off	off	off
Enhancer_chr16_67974175_67976175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67974175_67976175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67974675_67976675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67974675_67976675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67975175_67977175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67975175_67977175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67975675_67977675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67975675_67977675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67976175_67978175	PSKH1	off	off	off	off	on	on	off	off
Enhancer_chr16_67976175_67978175	PSKH1	off	off	off	off	on	on	off	off
Enhancer_chr16_67976675_67978675	PSKH1	off	off	off	off	on	on	off	off
Enhancer_chr16_67976675_67978675	PSKH1	off	off	off	off	on	on	off	off
Enhancer_chr16_67977175_67979175	PSKH1	off	off	off	off	on	on	off	off
Enhancer_chr16_67977175_67979175	PSKH1	off	off	off	off	on	on	off	off
Enhancer_chr16_67977675_67979675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67977675_67979675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67978175_67980175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67978175_67980175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67979175_67981175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67979175_67981175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67986175_67988175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67986175_67988175	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67986675_67988675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr16_67986675_67988675	PSKH1	off	off	off	off	off	on	off	off
Enhancer_chr2_37314965_37316965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37314965_37316965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37315465_37317465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37315465_37317465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37315965_37317965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37315965_37317965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37316465_37318465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37316465_37318465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37316965_37318965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37316965_37318965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37317465_37319465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37317465_37319465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37317965_37319965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37317965_37319965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37318465_37320465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37318465_37320465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37318965_37320965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37318965_37320965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37319465_37321465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37319465_37321465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37319965_37321965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37319965_37321965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37320465_37322465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37320465_37322465	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr2_37380465_37382465	EIF2AK2	off	on	on	off	off	off	off	off
Enhancer_chr2_37380465_37382465	EIF2AK2	off	on	on	off	off	off	off	off
Enhancer_chr2_37380965_37382965	EIF2AK2	off	on	on	off	on	off	off	off
Enhancer_chr2_37380965_37382965	EIF2AK2	off	on	on	off	on	off	off	off
Enhancer_chr2_37381465_37383465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37381465_37383465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37381965_37383965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37381965_37383965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37382465_37384465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37382465_37384465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37382965_37384965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37382965_37384965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37383465_37385465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37383465_37385465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37383965_37385965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37383965_37385965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37384465_37386465	EIF2AK2	on	on	on	on	on	on	on	off
Enhancer_chr2_37384465_37386465	EIF2AK2	on	on	on	on	on	on	on	off
Enhancer_chr2_37384965_37386965	EIF2AK2	off	on	off	off	on	off	off	off
Enhancer_chr2_37384965_37386965	EIF2AK2	off	on	off	off	on	off	off	off
Enhancer_chr2_37421465_37423465	EIF2AK2	on	off	on	on	on	on	on	on
Enhancer_chr2_37421465_37423465	EIF2AK2	on	off	on	on	on	on	on	on
Enhancer_chr2_37421965_37423965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37421965_37423965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37422465_37424465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37422465_37424465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37422965_37424965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37422965_37424965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37423465_37425465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37423465_37425465	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37423965_37425965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37423965_37425965	EIF2AK2	on	on	on	on	on	on	on	on
Enhancer_chr2_37424465_37426465	EIF2AK2	on	on	on	on	on	on	on	off
Enhancer_chr2_37424465_37426465	EIF2AK2	on	on	on	on	on	on	on	off
Enhancer_chr2_37424965_37426965	EIF2AK2	off	on	off	off	off	off	off	off
Enhancer_chr20_3660817_3662817	HSPA12B	off	off	off	off	off	on	off	off
Enhancer_chr20_3661317_3663317	HSPA12B	off	off	off	off	off	on	off	off
Enhancer_chr20_3661817_3663817	HSPA12B	off	off	off	off	off	on	off	off
Enhancer_chr20_3662317_3664317	HSPA12B	off	off	off	off	off	on	off	off
Enhancer_chr20_3699317_3701317	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3699817_3701817	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3700317_3702317	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3700817_3702817	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3701317_3703317	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3718817_3720817	HSPA12B	off	off	off	off	off	on	off	off
Enhancer_chr20_3719317_3721317	HSPA12B	off	off	off	off	off	on	off	off
Enhancer_chr20_3730317_3732317	HSPA12B	off	off	on	off	off	off	off	off
Enhancer_chr20_3730817_3732817	HSPA12B	off	off	on	off	off	on	on	off
Enhancer_chr20_3731317_3733317	HSPA12B	off	off	on	off	off	on	off	off
Enhancer_chr20_3731817_3733817	HSPA12B	off	off	on	off	off	on	off	off
Enhancer_chr20_3732317_3734317	HSPA12B	off	off	on	off	off	on	off	off
Enhancer_chr20_3732817_3734817	HSPA12B	off	off	on	off	off	off	off	off
Enhancer_chr20_3733317_3735317	HSPA12B	off	off	on	off	off	off	off	off
Enhancer_chr20_3744817_3746817	HSPA12B	off	on	on	off	off	off	off	off
Enhancer_chr20_3745317_3747317	HSPA12B	off	on	on	off	on	off	on	off
Enhancer_chr20_3745817_3747817	HSPA12B	on	on	on	off	on	on	on	off
Enhancer_chr20_3746317_3748317	HSPA12B	on	on	on	off	on	on	on	on
Enhancer_chr20_3746817_3748817	HSPA12B	on	on	on	on	on	on	on	on
Enhancer_chr20_3747317_3749317	HSPA12B	on	on	on	on	on	on	on	on
Enhancer_chr20_3747817_3749817	HSPA12B	on	on	on	on	off	on	on	on
Enhancer_chr20_3748317_3750317	HSPA12B	on	on	on	on	on	on	on	on
Enhancer_chr20_3748817_3750817	HSPA12B	off	on	on	on	on	on	on	off
Enhancer_chr20_3749317_3751317	HSPA12B	on	off	on	off	on	on	on	on
Enhancer_chr20_3749817_3751817	HSPA12B	off	off	on	off	off	on	on	off
Enhancer_chr20_3750317_3752317	HSPA12B	off	off	on	off	off	off	off	off
Enhancer_chr20_3750817_3752817	HSPA12B	off	off	on	off	off	off	off	off
Enhancer_chr20_3756317_3758317	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3756817_3758817	HSPA12B	off	on	off	off	off	on	off	off
Enhancer_chr20_3757317_3759317	HSPA12B	off	on	off	off	off	on	off	off
Enhancer_chr20_3757817_3759817	HSPA12B	off	on	off	off	off	on	off	off
Enhancer_chr20_3758317_3760317	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3758817_3760817	HSPA12B	off	on	off	off	off	off	off	off
Enhancer_chr20_3759317_3761317	HSPA12B	off	on	off	off	off	off	off	off
